AniListID,MalID,title,description,genres,tags,score,episodes,status,type,siteUrl,studios
10568,10568.0,Heaven's Memo Pad,"Narumi Fujishima isn't your typical high school student. He's never really fit in and has become increasingly more isolated from his fellow classmates. But he's not alone, and when Ayaka, the sole member of the Gardening Club, introduces him to the reclusive girl who lives above the ramen shop, Narumi enters a whole new secret world. Alice is a NEET, someone who is Not Employed, being Educated or in Training, but as Narumi quickly discovers, that doesn't mean that she does nothing all day. <br><br>
In between tending to her small army of stuffed bears, Alice is an expert hacker and a very exclusive private detective. To his surprise, Narumi finds himself drafted as one of the strange-but-elite team of associates that Alice has assembled from her NEET acquaintances. Together they'll battle gangs, thieves, murderers, and drug lords. And in the middle of it all, Narumi will find his life changing forever! <br><br>
(Source: Sentai Filmworks) 
<br><br>
<i>Note: The first episode aired with a runtime of ~48 minutes as opposed to the standard 24 minute long episode.</i>",['Mystery'],"['Hikikomori', 'Crime', 'Detective', 'Philosophy', 'Yakuza', 'Male Protagonist', 'Episodic', 'Gangs', 'Drugs', 'Noir', 'Suicide', 'Transgender']",71.0,12.0,FINISHED,ANIME,https://anilist.co/anime/10568,['J.C.STAFF']
16353,16353.0,Love Lab,"The Fujisaki Girls Academy is known for their school body being composed of very proper students. The most prominent one of them is Maki, the student president who is admired by her classmates for her calm and polite demeanor. On the other hand, Kurahashi Riko is also admired but for having a very forward and boyish personality. Riko accidentally walks into Maki while she's practicing kissing with a pillow and learns that she isn't what everyone thinks she is. Riko is forced into keeping Maki's secret and join her in practicing all aspects of romance like holding hands and more.
","['Comedy', 'Romance']","['School', 'Female Protagonist', 'Primarily Female Cast', 'Slapstick', 'Cute Girls Doing Cute Things', 'Seinen', 'Heterosexual', 'School Club', 'Parody', 'Primarily Teen Cast', 'Crossdressing', 'Tomboy', 'Tanned Skin']",71.0,13.0,FINISHED,ANIME,https://anilist.co/anime/16353,['Doga Kobo']
20520,21105.0,LOVE STAGE!!,"Though his family is packed with famous celebrities, Izumi Sena is just your average guy. Currently a college student, he's a huge otaku with aspirations of becoming a manga creator. But one day he gets roped into filming a TV commercial and meets hot young actor Ryoma Ichijo. Not only does Ryoma remember Sena from a commercial they were in together as children, but he’s also been carrying a torch all these years for the girl he thinks starred opposite him! What will he do when he finds out she is really a he?
<br><br>(Source: SuBLime Manga)","['Comedy', 'Romance']","[""Boys' Love"", 'LGBTQ+ Themes', 'Handjob', 'Acting', 'Rape', 'Femboy', 'Crossdressing', 'Otaku Culture', 'Family Life', 'Gender Bending', 'Cute Boys Doing Cute Things', 'Age Gap', 'Drawing']",66.0,10.0,FINISHED,ANIME,https://anilist.co/anime/20520,['J.C.STAFF']
99714,35843.0,Gintama.: Slip Arc,"Consists of episodes animated from unused manga chapters, before returning to the Silver Soul Arc on January 8, 2018. Porori is an Onomatopoeia for something (mainly water) falling.","['Action', 'Comedy', 'Drama', 'Sci-Fi']","['Parody', 'Male Protagonist', 'Samurai', 'Aliens', 'Ghost', 'Swordplay', 'Found Family', 'Shounen', 'Meta', 'Achronological Order', 'Historical', 'Anachronism', 'Ensemble Cast', 'Mopeds', 'Kuudere']",82.0,13.0,FINISHED,ANIME,https://anilist.co/anime/99714,['Bandai Namco Pictures']
103221,37981.0,Children of the Sea,"One summer vacation, Ruka meets two boys, ""Umi"" and ""Sora,"" whose upbringing contains strange and wonderful secrets. Drawn to their beautiful swimming, almost more like flying, Ruka and the adults who know them are intertwined in a complex mesh...<br>
Meanwhile, an unexplained anomaly is occurring all over the world: fish are disappearing. Thus begins a marine adventure of boys and girls to captivate all the senses!","['Drama', 'Mystery', 'Supernatural']","['Philosophy', 'Primarily Child Cast', 'Animals', 'Environmental', 'Cosmic Horror', 'Space', 'Female Protagonist', 'Swimming', 'Mythology', 'Coming of Age', 'Seinen', 'CGI', 'Ships', 'Bullying', 'Urban', 'Monster Boy', 'Astronomy', 'Amnesia', 'Handball', 'School']",72.0,1.0,FINISHED,ANIME,https://anilist.co/anime/103221,['Studio 4°C']
7769,7769.0,Okami-san and Her Seven Companions,"Ookami Ryouko is a spunky and, by some accounts, rather manly high school girl. She is tall, speaks in a traditionally masculine way and is very proficient in fighting. Ookami-san's best friend is the small and high-pitched voiced Akai Ringo. Incidentally, the two are rather flat-chested, a fact the Narrator (voiced by Arai ""Kuroko"" Satomi of Railgun fame) is all too eager to point out.<br><br>
Ookami and Ringo are members of the Otogi Bank, a club in Otogi High School that assists students with their problems in return for their assistance on a different problem at a later date; thus the Otogi Bank is effectively a loan institute for problems where you can take out a loan for a solved problem but you have to repay it sooner or later.<br><br>
The Otogi Bank is able to solve any problem and will go to any lengths to do so, often leading the members to danger or mayhem. Since most of the members of the club are female, another male is needed for the more dangerous assignments. Thus, the scopophobic (the fear of being looked at) Morino Ryoushi is inducted as a member, right after he confesses his love for Ookami...","['Comedy', 'Romance']","['Parody', 'School', 'Heterosexual', 'Tomboy', 'Meta', 'Tsundere', 'School Club', 'Love Triangle', 'Fairy Tale', 'Female Protagonist', 'Male Protagonist', 'Boxing', 'Crossdressing']",68.0,12.0,FINISHED,ANIME,https://anilist.co/anime/7769,['J.C.STAFF']
11977,11977.0,Puella Magi Madoka Magica the Movie Part I: Beginnings,The first movie in the Madoka trilogy; a recap of the first eight episodes of the series.,"['Action', 'Drama', 'Fantasy', 'Mahou Shoujo', 'Psychological', 'Thriller']","['Magic', 'Tragedy', 'Primarily Female Cast', 'Female Protagonist', 'Philosophy', 'Henshin', 'Urban Fantasy', 'Aliens', 'Witch', 'Primarily Child Cast', 'Urban', 'Mixed Media', 'Time Manipulation', 'School', 'Kuudere', 'Guns', 'Yuri']",80.0,1.0,FINISHED,ANIME,https://anilist.co/anime/11977,['Shaft']
155168,53200.0,The Devil is a Part-Timer! Season 2 Part 2,"Sequel to <i>Hataraku Maou-sama!!</i>.<br><br>
Lucifer and company face new challenges, form new alliances and...now there's a baby! Your favorite otherwordly crew returns in this continuation.<br><br>
(Source: Crunchyroll)","['Adventure', 'Comedy', 'Fantasy', 'Romance', 'Slice of Life']","['Demons', 'Ensemble Cast', 'Angels', 'Isekai', 'Urban Fantasy', 'Male Protagonist', 'Tsundere', 'Magic', 'Primarily Adult Cast', 'Urban', 'Satire', 'Work', 'Heterosexual', 'Food', 'Nudity']",66.0,12.0,FINISHED,ANIME,https://anilist.co/anime/155168,['Studio 3Hz']
21684,32900.0,The Irregular at Magic High School The Movie: The Girl Who Summons the Stars,"In the story, the seasons have changed, and it will soon be the second spring. The poor student older brother Tatsuya and the honor student younger sister Miyuki have finished their first year at their magic high school, and are on their spring break. The two go to their villa on the Ogasawara Island archipelago. After only a small moment of peace, a lone young woman named Kokoa appears before them. She has abandoned the Naval base, and she tells Tatsuya her one wish.
<br><br>
(Source: Anime News Network)<br>
<br>
<i>Note: The film takes place in between the A and B part of the 11th episode of ""Mahouka Koukou no Rettousei: Raihousha-hen""</i>","['Sci-Fi', 'Supernatural']","['Magic', 'Military', 'Politics', 'Twins', 'School', 'Male Protagonist', 'Swordplay', 'Kuudere', 'Nudity']",72.0,1.0,FINISHED,ANIME,https://anilist.co/anime/21684,['8-bit']
170083,56894.0,Dragon Ball DAIMA,"Goku and company were living peaceful lives when they suddenly turned small due to a conspiracy! When they discover that the reason for this may lie in a world known as the ""Demon Realm"", a mysterious young Majin named Glorio appears before them.
<br><br>
(Source: Crunchyroll)","['Action', 'Adventure']","['Demons', 'Super Power', 'Shounen', 'Age Regression', 'Primarily Child Cast', 'Male Protagonist', 'Martial Arts', 'Magic', 'Aliens', 'Gods', 'Henshin']",76.0,20.0,FINISHED,ANIME,https://anilist.co/anime/170083,[]
101289,37446.0,The Master of Ragnarök & Blesser of Einherjar,"Some urban legends are best left untested! Yuuto Suoh gets more than he bargained for when he joins his childhood friend Mitsuki Shimoya in testing out an urban legend. When he uses his phone to take a picture of himself with the local shrine's divine mirror, he is whisked off into another world – one heavily steeped in the lore of the old Norse myths. Using his knowledge gained from school and from his solar-powered smartphone, he has the chance to bring the Wolf Clan, the same people who cared for him, to prominence, all while earning the adoration of a group of magic-wielding warrior maidens known as the Einherjar.<br><br>

(Source: J-Novel)","['Adventure', 'Ecchi', 'Fantasy', 'Romance']","['Isekai', 'Female Harem', 'Male Protagonist', 'War', 'Military', 'Anachronism', 'Twins', 'Tanned Skin', 'Mythology', 'Nudity', 'Heterosexual']",52.0,12.0,FINISHED,ANIME,https://anilist.co/anime/101289,['EMT Squared']
12031,12031.0,Kingdom,"When low-born servant boys Piao and Xin set out to become the world’s greatest war generals, they quickly find themselves caught up in a violent struggle between two noblemen plotting to overthrow the King. After Piao is killed protecting the rightful ruler of the kingdom of Qin, Xin sets out on a campaign for revenge that leads him straight into the fire of war.<br>
<br>
Now, with a target on his back and an army of enemies standing in his way, it will be up to a boy with no name and a young king without a throne to return order to their war-torn country in this historical action-drama based on the Tezuka Award-winning manga, Kingdom.<br>
<br>
(Source: Funimation)<br>
<br>
<i>Note: The first episode aired with a runtime of 50 minutes as opposed to the standard 25 minute runtime.</i>","['Action', 'Drama']","['War', 'CGI', 'Military', 'Historical', 'Foreign', 'Primarily Male Cast', 'Politics', 'Swordplay', 'Ancient China', 'Coming of Age', 'Royal Affairs', 'Male Protagonist', 'Seinen']",74.0,38.0,FINISHED,ANIME,https://anilist.co/anime/12031,['Studio Pierrot']
101261,37426.0,Sarazanmai,"The stage is Asakusa. One day, three 2nd-year middle school students — Kazuki Yasaka, Tooi Kuji, and Enta Jinnai — meet a mysterious kappa-like creature named Keppi, who forcibly takes their shirikodama (a mythical organ kappa steal through a person's anus) and transforms the boys into kappa.
<br><br>
Keppi informs them, ""If you wish to return to your former selves, you must connect in 'that way' and bring me the shirikodama of zombies."" Will the three boys be able to connect as they steal shirikodama from zombies?! Meanwhile, two policemen — Reo Niiboshi and Mabu Akutsu — are up to something at the police box where they are stationed.
<br><br>
(Source: Official Website)","['Comedy', 'Drama', 'Fantasy', 'Psychological', 'Supernatural']","['Shapeshifting', 'Surreal Comedy', 'Primarily Male Cast', 'Male Protagonist', 'LGBTQ+ Themes', 'Youkai', 'Coming of Age', 'Urban Fantasy', 'Tragedy', 'Satire', ""Boys' Love"", 'Philosophy', 'Primarily Teen Cast', 'Henshin', 'Police', 'Meta', 'Slapstick', 'Musical Theater', 'Cute Boys Doing Cute Things', 'Zombie', 'Crime', 'Crossdressing', 'Tanned Skin', 'Episodic', 'Idol', 'Football', 'Suicide', 'Guns', 'Delinquents', 'Bisexual', 'Nudity', 'Drugs']",73.0,11.0,FINISHED,ANIME,https://anilist.co/anime/101261,"['MAPPA', 'Lapin Track']"
550,550.0,Yu☆Gi☆Oh!,"Yuugi is a somewhat frail young boy who happens to be a big fan of gaming of any kind. But when he solves an ancient egyptian puzzle he is granted all the powers of darkness. Now when confronted with danger and injustice, he transforms into a much darker and dangerous form, and proceeds to dish out the justice and punishment for those who so richly deserve it.<br><br>
(Source: AnimeNfo)","['Action', 'Comedy', 'Fantasy']","['Death Game', 'Shounen', 'Dissociative Identities', 'Card Battle', 'Henshin', 'Gambling', 'School', 'Reincarnation', 'Primarily Teen Cast', 'Male Protagonist', 'Urban Fantasy', 'Mythology', 'Delinquents', 'Bullying', 'Isekai', 'Video Games', 'Board Game']",69.0,27.0,FINISHED,ANIME,https://anilist.co/anime/550,['Toei Animation']
16732,16732.0,KINMOZA!,"The story begins with Oomiya Shinobu, a 15-year-old, seemingly pure Japanese girl who actually did a homestay in Great Britain. Even after coming back to Japan, she still misses her time overseas. One day, an airmail letter arrives from Alice, the girl in Shinobu's host family in Great Britain. The letter reads: Shinobu, I'm coming to Japan! The Japanese/British girls' mixed comedy follows the lives of Shinobu, Alice, and other girls from both Japan and Great Britain.<br><br>
(Source: Anime News Network)","['Comedy', 'Slice of Life']","['Cute Girls Doing Cute Things', 'Female Protagonist', 'Primarily Female Cast', 'School', 'Primarily Teen Cast', 'Tsundere', 'Language Barrier', 'Seinen', 'Tomboy', 'Foreign', 'Pirates', 'Baseball']",70.0,12.0,FINISHED,ANIME,https://anilist.co/anime/16732,['Studio Gokumi']
20819,25879.0,Wagnaria!!3,"The third season of <i>Working!!</i> <br><br>

The eccentric employees of everybody's favorite family restaurant will be going wild once again!<br><br>

(Source: Aniplex USA, edited)","['Comedy', 'Romance', 'Slice of Life']","['Work', 'Ensemble Cast', 'Episodic', 'Male Protagonist', 'Heterosexual', 'Restaurant', 'Seinen', 'Crossdressing', 'Satire', 'Food']",78.0,13.0,FINISHED,ANIME,https://anilist.co/anime/20819,['A-1 Pictures']
108522,39555.0,Baki: The Great Raitai Tournament Saga,"The second season of <i>Baki</i>.<br>
<br>
Weakened by the poison from his last battle, Baki Hanma finds himself on the verge of death with no salvation in sight. However, after Baki's friend, Retsu Kaiou, brings him to China, he learns about the centurial Raitai Tournament, where the fiercest warriors fight to be crowned as the strongest martial artist in all of China.<br>
<br>
As it is now allowing entry to foreigners, Baki is informed that he will have to compete in the tournament as it holds the cure to his illness. Unfortunately, Baki's father, deemed the ""Strongest Creature on Earth,"" is participating too. Baki 2nd Season details the events of the grand Chinese tournament, as well as Baki's encounter with the eccentric yet powerful Mohammad Alai Jr.<br>
<br>
(Source: MAL Rewrite)","['Action', 'Sports']","['Martial Arts', 'Shounen', 'Primarily Male Cast', 'Male Protagonist', 'Gore', 'Boxing', 'Body Horror', 'Heterosexual', 'Love Triangle']",75.0,13.0,FINISHED,ANIME,https://anilist.co/anime/108522,['TMS Entertainment']
18179,18179.0,Yowamushi Pedal,"Otaku Sakamichi Onoda has just entered high school and plans to join the anime club. In middle school, Onoda didn’t have any friends with whom he could talk about anime, games, Akihabara and other otaku things, and he is hoping he can make such friends in the anime club, but he finds out it's been disbanded. In order to reestablish the club he tries to find 4 other people who would like to join.<br><br>
Since he was a little boy, Onoda has ridden his mamachari—a bulky bicycle with a step-through frame mainly used for short rides, such as for casual fun or to pick up groceries—to go to Akihabara every week to check out or buy otaku things. Fellow freshman Shunsuke Imaizumi and bicyclist, while training, notices a boy (Onoda) riding his mamchari up a steep road.<br><br>
Freshman and road racing cyclist, Shokichi Naruko visits Akihabara to get some Gundam plastic models for his younger brothers and meets Onoda who catches his attention because of the his cycling skill on the mamachari and later find out they go to the same school. Later on, both Naruko and Imaizumi try to convince him to join the bicycle racing club, but will he?","['Comedy', 'Drama', 'Sports']","['Cycling', 'Male Protagonist', 'Shounen', 'School Club', 'Primarily Teen Cast', 'Primarily Male Cast', 'Otaku Culture', 'CGI']",77.0,38.0,FINISHED,ANIME,https://anilist.co/anime/18179,['TMS Entertainment']
